Franchise,Facility,City,Country,Latitude,Longitude,Extreme Heat,Deep Freeze,Air Quality,Wildfire Risk,Flood Risk,Storm Risk,Drought Risk,Peak Risk
Atlanta Hawks,State Farm Arena,Atlanta,USA,33.7573,-84.3963,Low,Low,Low,Negligible,Low,Negligible,Negligible,Low
Boston Celtics,TD Garden,Boston,USA,42.3662,-71.0621,Negligible,Moderate,Negligible,Negligible,High,Low,Negligible,High
Brooklyn Nets,Barclays Center,Brooklyn,USA,40.6826,-73.9754,Low,Low,Low,Negligible,Low,Low,Negligible,Low
Charlotte Hornets,Spectrum Center,Charlotte,USA,35.2251,-80.8392,Low,Low,Negligible,Negligible,Low,Low,Negligible,Low
Chicago Bulls,United Center,Chicago,USA,41.8807,-87.6742,Negligible,High,Low,Negligible,Low,Negligible,Low,High
Cleveland Cavaliers,Rocket Arena,Cleveland,USA,41.4965,-81.6882,Negligible,High,Low,Negligible,Low,Negligible,Negligible,High
Dallas Mavericks,American Airlines Center,Dallas,USA,32.7905,-96.8103,Low,Negligible,Moderate,Low,Moderate,Low,Low,Moderate
Denver Nuggets,Ball Arena,Denver,USA,39.7487,-105.0077,Negligible,Moderate,Moderate,Low,Low,Negligible,Low,Moderate
Detroit Pistons,Little Caesars Arena,Detroit,USA,42.341,-83.0553,Negligible,High,Low,Negligible,High,Negligible,Negligible,High
Golden State Warriors,Chase Center,San Francisco,USA,37.768,-122.3877,Negligible,Negligible,Low,Low,High,Negligible,Low,High
Houston Rockets,Toyota Center,Houston,USA,29.7508,-95.3621,Low,Negligible,Moderate,Low,Low,High,Low,High
Indiana Pacers,Gainbridge Fieldhouse,Indianapolis,USA,39.7639,-86.1555,Negligible,Moderate,Low,Negligible,Low,Negligible,Negligible,Moderate
Los Angeles Clippers,Intuit Dome,Inglewood,USA,33.9459,-118.341,Negligible,Negligible,High,High,Low,Negligible,Low,High
Los Angeles Lakers,Crypto.com Arena,Los Angeles,USA,34.043,-118.2673,Negligible,Negligible,High,High,Low,Negligible,Low,High
Memphis Grizzlies,FedEx Forum,Memphis,USA,35.1382,-90.0505,Low,Low,Negligible,Low,Low,Negligible,Negligible,Low
Miami Heat,Kaseya Center,Miami,USA,25.7814,-80.187,Negligible,Negligible,Negligible,Negligible,High,High,Negligible,High
Milwaukee Bucks,Fiserv Forum,Milwaukee,USA,43.0451,-87.9174,Negligible,High,Low,Negligible,Low,Negligible,Negligible,High
Minnesota Timberwolves,Target Center,Minneapolis,USA,44.9795,-93.276,Negligible,High,Negligible,Negligible,Low,Negligible,Negligible,High
New Orleans Pelicans,Smoothie King Center,New Orleans,USA,29.949,-90.0821,Low,Negligible,Negligible,Negligible,High,High,Low,High
New York Knicks,Madison Square Garden,New York,USA,40.7505,-73.9934,Low,Low,Low,Low,Low,Low,Negligible,Low
Oklahoma City Thunder,Paycom Center,Oklahoma City,USA,35.4634,-97.5151,Low,Low,Negligible,High,Low,Negligible,Negligible,High
Orlando Magic,Kia Center,Orlando,USA,28.5392,-81.3839,Low,Negligible,Negligible,High,Low,High,Negligible,High
Philadelphia 76ers,Wells Fargo Center,Philadelphia,USA,39.9012,-75.172,Negligible,Moderate,Low,Negligible,Low,Low,Negligible,Moderate
Phoenix Suns,Mortgage Matchup Center,Phoenix,USA,33.4457,-112.0712,Low,Negligible,High,High,Low,Negligible,Low,High
Portland Trail Blazers,Moda Center,Portland,USA,45.5316,-122.6668,Negligible,Negligible,Negligible,Low,Low,Negligible,Negligible,Low
Sacramento Kings,Golden1 Center,Sacramento,USA,38.5802,-121.4997,Negligible,Negligible,Moderate,Low,Moderate,Negligible,Low,Moderate
San Antonio Spurs,Frost Bank Center,San Antonio,USA,29.4269,-98.4375,Low,Negligible,Low,Low,Moderate,Low,Low,Moderate
Toronto Raptors,Scotiabank Arena,Toronto,Canada,43.6435,-79.3791,Negligible,High,Negligible,Negligible,Moderate,Negligible,Negligible,High
Utah Jazz,Delta Center,Salt Lake City,USA,40.7683,-111.9011,Negligible,High,Moderate,High,Low,Negligible,Low,High
Washington Wizards,Capital One Arena,Washington,USA,38.8981,-77.0209,Low,Low,Negligible,Negligible,Low,Low,Negligible,Low
